Tanggal,Penulis,Judul,Artikel,Label
" Senin, 4 Desember 2023 19:10 WIB",Pewarta: Altas MaulanaEditor: Budisantoso BudimanCOPYRIGHT © ANTARA 2023,Lahan pertanian 2.141 hektare di Agam terdampak abu vulkanik Marapi," Saat ini kondisi Gunung Marapi masih mengeluarkan abu vulkanik dan petani tetap waspada.Lubuk Basung,- (ANTARA) - Dinas Pertanian Kabupaten Agam, Sumatera Barat mencatat sekitar 2.141 hektare lahan pertanian di daerah initerdampak abu vulkanik dan pasir pascaerupsi Gunung Marapi, Minggu (3/12) siang.      ""Ke 2.141 hektare lahan pertanian jenis padi, tebu, dan tanaman hortikultura diselimuti abu vulkanik maupun pasir,"" kata Kepala Dinas Pertanian Agam Afniwirman, di Lubuk Basung, Senin.      Ia mengatakan, ke 2.141 hektare itu dengan rincian, yakni padi sekitar 1.100 hektare, lahan tebu sekitar 700 hektare, dan tanaman hortikultura sekitar 340 hektare.      Namun yang paling parah terdampak merupakan tanaman hortikultura berupa cabai, kol, bawang prey, dan lainnya.      ""Untuk kerugian secara ekonomi belum bisa kamiperkirakan,"" katanya pula.      Dia mengakui, lokasi lahan pertanian terdampak itu tersebar di Kecamatan Sungai Pua, Canduang, Banuhampu, dan Ampek Angkek.      ""Ini berdasarkan pendataan yang kamilakukan di kecamatan sekitar Gunung Marapi tersebut,"" katanya lagi.      Ia mengatakan, menurut keterangan beberapa petani, tanaman itu bisa diselamatkan apabila hujan melanda daerah tersebut.      Untuk mengatasi itu, sebagian petani menyiram tanaman mereka dengan air, sehingga abu vulkanik tersebut hilang.      ""Petani menyiram tanaman menggunakan mesin semprot pestisida, sehingga abu vulkanik bisa hilang,"" katanya.      Dia mengimbau petani tidak melakukan aktivasi sekitar tiga kilometer dari puncak gunung. Apabila melakukan aktivitas di lahan, harus menggunakan masker dan tutup kepala agar terhindar dari dampak erupsi itu.      ""Saat ini kondisi Gunung Marapi masih mengeluarkan abu vulkanik dan petani tetap waspada,"" katanya lagi. Baca juga: Bupati Agam imbau warga kosongkan daerah sekitar Gunung Marapi  Baca juga: Warga Pasaman Barat mulai rasakan dampak erupsi Gunung MarapiPewarta: Altas MaulanaEditor: Budisantoso Budiman    COPYRIGHT © ANTARA 2023 ",ekonomi
" Senin, 4 Desember 2023 19:06 WIB",Pewarta: Muhammad HeriyantoEditor: Faisal YuniantoCOPYRIGHT © ANTARA 2023,Jasa Marga tak usul diskon tarif tol selama libur Natal dan tahun baru," Karena masih bisa ditampung, mobilisasi angkanya di bawah LebaranJakarta (ANTARA) - Corporate Communication and Community Development Group Head PT Jasa Marga Tbk (JSMR),Lisye Octaviana mengatakan Jasa Marga tidak mengusulkan adanya potongan (diskon) tarif tol selama periode libur Natal 2023 dan Tahun Baru 2024.   “Kami di JSMR ngga usulkan tarif di bawah Natal dan Tahun Baru (Nataru). Karena masih bisa ditampung, mobilisasi angkanya di bawah Lebaran,” ujar Lisye dalam konferensi pers di Kantor Jasa Marga, Jakarta, Senin.   Ia menuturkan alasan Jasa Marga meniadakan diskon tarif tol adalah mobilitas mobil pada periode libur Nataru tidak seramai seperti saat libur Hari Raya Idul Fitri.   “Di Lebaran, kami untuk distribusikan lalu lintas, biar ga numpuk satu waktu, periode Lebaran kemarin kan panjang. Jadi, ada titik- titik waktu yang jadi puncak. Kapasitas jalannya walau ada rekayasa lalu lintas tetep ga ketampung. Jadi, tujuannya diskon tarif untuk distribusi lalu lintas,” ujar Lisye.   Lisye menjelaskan, penerapan diskon tarif tol pada periode libur Lebaran dilaksanakan untuk mendistribusikan lalu lintas, sehingga tidak menumpuk pada waktu perjalanan tertentu.   Ia menyebut periode libur Lebaran 2023 juga cukup panjang dan telah diprediksi beberapa titik waktu yang menjadi puncak lalu lintas.   Dalam kesempatan ini, Lisye mengatakan Jasa Marga telah berkoordinasi secara intens dengan berbagai pihak, diantaranya Kementerian Perhubungan (Kemenhub), Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR), Kepolisian RI, Korps Lalu Lintas (Korlantas) Polri, dan pemerintah daerah setempat.   Koordinasi tersebut dalam rangka persiapan untuk mengantisipasi peningkatan layanan, peningkatan volume, serta kepadatan pada jalur, gerbang tol, maupun rest area.   “Langkah antisipasinya seperti apa, mulai dari rekayasa lalu lintas. Dari sisi internal, sarana prasarana akan kita tambahkan untuk mengatur lalu lintas dan kepadatan penambahan mobile reader untuk penambahan jumlah transaksi,” ujar Lisye.  Baca juga: BPS: Program diskon tarif tol mampu tekan inflasi saat periode Lebaran  Baca juga: Tarif lima ruas tol didiskon saat mudik Lebaran  Baca juga: PUPR: Diskon tarif tol berkontribusi distribusikan lalin Lebaran  Pewarta: Muhammad HeriyantoEditor: Faisal Yunianto    COPYRIGHT © ANTARA 2023 ",ekonomi
" Senin, 4 Desember 2023 18:52 WIB",Pewarta: MuhsidinEditor: Evi RatnawatiCOPYRIGHT © ANTARA 2023,DPKP: Produk usaha OAP penuhi kebutuhan warga Biak,"     Biak (ANTARA) - Pemerintah Kabupaten Biak Numfor, Papua melalui Dinas Pertanian Ketahanan Pangan (DPKP) memastikan kebutuhan telur ayam dan beragam sayur mayur untuk warga Biak menjelang Natal dan Tahun Baru 2024 akan dipenuhi pelaku usaha orang asli Papua (OAP).   ""Pasokan telur ayam dari produksi puluhan peternak OAP dipenuhi 100 persen dalam rangka memenuhi kebutuhan warga Biak Numfor menghadapi hari besar keagamaan Natal dan Tahun Baru 2024,"" kata Pelaksana Tugas Kepala Dinas Pertanian dan Ketahanan Pangan Biak Numfor Immanuel Naap di Biak, Senin.   Ia menyebut, saat ini produksi telur ayam Biak sudah melebihi kebutuhan masyarakat dari berbagai kampung dan distrik.   Sedangkan kebutuhan sayur mayur, cabai, tomat, jahe dan bawang merah, lanjut dia, juga sudah dipenuhi pelaku usaha OAP dari kampung-kampung.   ""Untuk berbagai kebutuhan warga Biak Numfor akan disuplai dari produksi usaha OAP sehingga menyambut Natal dan Tahun Baru 1 Januari 2024,"" katanya.   Salah satu pendamping Yayasan Bina Tani Sejahtera Oktari Hernita Putri di Bisk, mengakui petani OAP di berbagai kampung Distrik Biak Timur sudah mampu memproduksi beragam jenis sayuran dan bawang merah.   ""Hasil produksi petani OAP sudah bisa memenuhi kebutuhan masyarakat lokal Biak Numfor,"" katanya.   Salah satu petani OAP Rumanasen mengakui produksi usaha pertanian di lahan miliknya sudah bisa menjawab kebutuhan masyarakat Biak Numfor sekitarnya.   Untuk harga saat ini masih bervariasi tergantung kebutuhan seperti telur ayam ras seharga Rp65 ribu/rak hingga Rp70 ribu/rak, bawang merah Rp35 ribu hingga Rp40 ribuan/kg dan cabai kecil Rp45 ribu hingga Rp60 ribu/kg.   Sedangkan untuk harga jenis sayuran lainnya seperti kangkung, bayam, sawi, terong dijual bervariasi dari harga Rp5.000/ikat hingga Rp7 ribu/ikat.Pewarta: MuhsidinEditor: Evi Ratnawati    COPYRIGHT © ANTARA 2023 ",ekonomi
" Senin, 4 Desember 2023 18:45 WIB",Pewarta: Zubi MahrofiEditor: Risbiani FardaniahCOPYRIGHT © ANTARA 2023,Bea Cukai diminta seleksi barang pekerja migran agar keluar pelabuhan," Kalau ada dokumen yang belum lengkap ya tahan sampai lengkap, tapi apakah semua barang dalam 102 kontainer itu benar-benar keseluruhannya tidak lengkap? Itu kan bisa diseleksi...Jakarta (ANTARA) - Badan Pelindungan Pekerja Migran Indonesia (BP2MI) meminta Ditjen Bea Cukai Kementerian Keuangan (Kemenkeu) untuk menyeleksi barang-barang milik pekerja migran Indonesia yang tertahan di Pelabuhan Tanjung Perak, Surabaya, dan Tanjung Emas, Semarang, agar dapat keluar.   ""Kalau ada dokumen yang belum lengkap ya tahan sampai lengkap, tapi apakah semua barang dalam 102 kontainer itu benar-benar keseluruhannya tidak lengkap? Itu kan bisa diseleksi, mana barang umum dan milik pekerja migran Indonesia. Milik pekerja migran yang sudah lengkap dikeluarkan saja,"" ujar Kepala BP2MI Benny Rhamdani dalam konferensi pers di Jakarta, Senin.   Ia menekankan BP2MI tidak bermaksud untuk membela perusahaan jasa pengiriman yang belum melengkapi dokumen.   ""Saya tidak punya urusan dengan perusahaan jasa pengiriman. Kami tidak membela perusahaan jasa pengiriman, saya bela barang milik pekerja migran,"" ucap Benny.   Benny mengatakan untuk mengecek kepemilikan barang pekerja migran Indonesia, Ditjen Bea Cukai dapat mengintegrasikan data dengan menggunakan Sistem Komputerisasi untuk Pelayanan Penempatan dan Pelindungan Pekerja Migran Indonesia (SISKOP2MI) milik BP2MI.  Baca juga: BP2MI sebut 102 kontainer barang kiriman PMI tertahan di dua pelabuhan   Ia menambahkan jika barang milik pekerja migran Indonesia tertahan karena aturan terkait relaksasi pengurangan biaya barang milik PMI belum terbit, maka PMI siap membayar yang harus menjadi kewajiban mereka.   ""Jika aturan relaksasi masih berproses, kami memohon agar barang milik pekerja migran dikeluarkan seperti biasanya, walaupun belum dikenakan aturan relaksasi, pekerja migran Indonesiabersedia untuk membayar sesuai ketentuan,"" ucap Benny.   SebelumnyaBenny mengatakan telah bertemu dengan Presiden Joko Widodo (Jokowi) pada 3 Agustus 2023 dalam Rapat Terbatas (Ratas) Kabinet Republik Indonesia.   Dalam rapat tersebut, ia menyampaikan bahwa BP2MI telah mengusulkan untuk memberikan relaksasi pajak atau meringankan biaya atas barang kiriman pekerja migran Indonesia. Presiden telah merespons usulan itu untuk diselesaikan secepatnya.   BP2MI berharap revisi aturan baru yang mengatur relaksasi bea masuk barang milik pekerja migran Indonesia segera rampung agar ada kepastian hukum, sekaligus sebagai bentuk penghargaan kepada para pekerja migran Indonesia yang menjadi pahlawan devisa negara.  Baca juga: BP2MI usul relaksasi pajak kiriman barang PMI Rp24 juta per tahun  Baca juga: BP2MI harap revisi aturan pengiriman barang PMI segara rampung  ​​​​​​Pewarta: Zubi MahrofiEditor: Risbiani Fardaniah    COPYRIGHT © ANTARA 2023 ",ekonomi
" Senin, 4 Desember 2023 18:41 WIB",,MPF buru CEO start up koaborasi dengan BUMN (3),"                     ANTARA - Merah Putih Fund (MPF) modal venture asli Indonesia siap mendanai pengembangan perusahaan rintisan hingga menjadi Unicorn. MPF merupakan turunan dari beberapa perusahaan BUMN, ada lima Corporate Venture Capital BUMN ternama yaitu Mandiri Capital, MDI Ventures, TMI, BRI Ventures, BNI Ventures.Merah Putih Fund akan mengintegrasikan bisnis para soonicorn investeenya dalam ekosistem bisnis BUMN danmelahirkan superhero baru yang berkarya, berdaya, dan berjaya di masa depan 100% Indonesia, 100% untuk Indonesia. (Afut Syafril Nursyirwan/Gunawan Wibisono/Fahrul Marwansyah/Afut Syafril Nursyirwan)        ",ekonomi
" Senin, 4 Desember 2023 18:41 WIB",,"MPF, melahirkan unicorn dari Indonesia (2)","                     ANTARA - Merah Putih Fund (MPF) modal venture asli Indonesia siap mendanai pengembangan perusahaan rintisan hingga menjadi Unicorn. MPF merupakan turunan dari beberapa perusahaan BUMN, ada lima Corporate Venture Capital BUMN ternama yaitu Mandiri Capital, MDI Ventures, TMI, BRI Ventures, BNI Ventures.Merah Putih Fund akan mengintegrasikan bisnis para soonicorn investeenya dalam ekosistem bisnis BUMN danmelahirkan superhero baru yang berkarya, berdaya, dan berjaya di masa depan 100% Indonesia, 100% untuk Indonesia. (Afut Syafril Nursyirwan/Gunawan Wibisono/Fahrul Marwansyah/Afut Syafril Nursyirwan)        ",ekonomi
" Senin, 4 Desember 2023 18:37 WIB",,"MPF, Permodalan venture dari Indonesia untuk Indonesia (1)","                     ANTARA - Merah Putih Fund (MPF) modal venture asli Indonesia siap mendanai pengembangan perusahaan rintisan hingga menjadi Unicorn. MPF merupakan turunan dari beberapa perusahaan BUMN, ada lima Corporate Venture Capital BUMN ternama yaitu Mandiri Capital, MDI Ventures, TMI, BRI Ventures, BNI Ventures.Merah Putih Fund akan mengintegrasikan bisnis para soonicorn investeenya dalam ekosistem bisnis BUMN danmelahirkan superhero baru yang berkarya, berdaya, dan berjaya di masa depan 100% Indonesia, 100% untuk Indonesia. (Afut Syafril Nursyirwan/Gunawan Wibisono/Fahrul Marwansyah/Afut Syafril Nursyirwan)        ",ekonomi
" Senin, 4 Desember 2023 18:31 WIB",Pewarta: Indra  Arief PribadiEditor: Faisal YuniantoCOPYRIGHT © ANTARA 2023,Jokowi cek stok beras dan bagikan bantuan pangan di NTT," Jadi nanti bulan Januari, Februari, Maret (2024) diberikan lagi yaJakarta (ANTARA) - Presiden RI Joko Widodo (Jokowi) meninjau ketersediaan beras di gudang Bulog dan membagikan bantuan pangan cadangan beras pemerintah (CBP) kepada keluarga penerima manfaat (KPM) di Manggarai Barat, Nusa Tenggara Timur, Senin.   Presiden Jokowi menyebut bahwa bantuan pangan tersebut telah disalurkan oleh pemerintah sejak April 2023 dan akan terus disalurkan kepada keluarga penerima manfaat hingga Maret 2024.   “Jadi nanti bulan Januari, Februari, Maret (2024) diberikan lagi ya,” kata Jokowi, dalam keterangan Biro Pers Sekretariat Presiden diterima di Jakarta.   Selain bantuan pangan, Presiden Jokowi juga mengatakanbahwa bantuan lain dari pemerintah berupa bantuan El Nino akan turut disalurkan kepada masyarakat untuk periode November dan Desember 2023.   “Ini akan ditransfer November, Desember, Rp400 ribu kira-kira di minggu ini atau minggu depan, yang belum,” kata dia.   Dalam kesempatan itu, Jokowi juga mengimbau kepada masyarakat yang belum terdaftar dalam Program Keluarga Harapan (PKH) dan Bantuan Pangan Non-tunai (BPNT) untuk bisa mendaftarkan diri ke RT/RW atau kelurahan/desa setempat agar dapat memperoleh bantuan terkait dari pemerintah.   ""Ibu-ibu ini ikut PKH? BPNT ikut? Yang belum dapat daftar ke kelurahan, ke RT, atau, kelurahan,"" kata dia.   Setelah membagikan bantuan pangan, Jokowi kemudian meninjau Gudang Bulog Batu Cermin, Labuan Bajo, Manggarai Barat untuk meninjau ketersediaan beras.   Turut mendampingi Jokowi antara lain Menteri Pekerjaan Umum dan Perumahan Rakyat Basuki Hadimuljono, Kepala Badan Pangan Nasional Arief Prasetyo Adi, Pj. Gubernur NTT Ayodhia Kalake, serta Bupati Manggarai Barat Edistasius Endi.   Baca juga: Swasembada beras sebagai “harga mati” bagi pertanian Indonesia  Baca juga: NFA gandeng BPS survei stok beras menjelang akhir tahun  Baca juga: Pemerintah alokasikan 8.000 ton beras bantuan El Nino untuk GarutPewarta: Indra  Arief PribadiEditor: Faisal Yunianto    COPYRIGHT © ANTARA 2023 ",ekonomi
" Sabtu, 2 Desember 2023 18:15 WIB",Pewarta: Zaro Ezza SyachniarEditor: Irwan SuhirwandiCOPYRIGHT © ANTARA 2023,Hanya fokus balapan jadi kunci Veda rajai seri final ARRC di Buriram,"     Buriram, Thailand (ANTARA) - Pembalap Indonesia milik Astra Honda Racing Team (AHRT) Veda Ega Pratama mengaku kunci merajai balapan pertama pada seri terakhir Asia Road Racing Championship (ARRC) 2023 kelas Asia Production 250 (AP 250) di Sirkuit Internasional Chang, Buriram, Thailand, Sabtu, adalah hanya fokus pada balapan tanpa memikirkan persaingan dengan pembalap lainnya.   Memulai balapan dari pole, Veda tanpa basa-basi langsung menjauhkan diri dari pesaing di belakangnya saat balapan dengan 10 lap itu memasuki lap keempat.   Ia melesat tanpa kendala untuk memenangkan balapan kelas AP 250 ketiganya di musim ini setelah race kedua di dua seri ARRC 2023, di Sirkuit Sepang, Malaysia dan Sirkuit Internasional Zhuhai, China.   ""Ya memang di semua race, strateginya kalau udah nomer satu saya langsung ninggalin (pesaing di belakang),"" kata Veda setelah menyelesaikan balapan pertama di Sirkuit Internasional Chang, Sabtu.  Baca juga: VedaEgalampaui dua kandidat juara dengan start terdepan di Buriram   Fokus Veda juga terlihat saat ia disinggung tentang dirinya yang sempat ditempel ketat oleh dua pembalap tuan rumah, Jakkreephat Puettisan dan Muklada Sarapuech di lap-lap awal sebelum akhirnya menjauh.   Veda mengaku tak mempedulikan ancaman pembalap lain saat balapan. Ia hanya fokus tentang apa yang ingin dicapainya sampai-sampai pembalap yang baru menjuarai Asia Talent Cup 2023 itu kaget sudah melepaskan diri dari ancaman Jakkreephat dan Muklada.   ""Ya saya gak tahu (kenapa bisa menjauh), tiba-tiba udah lepas aja (dari pembalap Thailand),"" ucap Veda.   Kemenangan ini menurutnya juga sudah diprediksi, mengingat, pembalap 15 tahun itu juga menjadi yang tercepat di sesi free practice dan juga kualifikasi.   ""Saya lihat dari time kemarin, dari free practice saya yakin sih,"" kata Veda.  Baca juga: Veda tak ingin ganggu persaingan Rheza dan Herjun rebut gelar ARRC   Race kedua seri terakhir ARRC di Sirkuit Internasional Chang akan dimainkan Minggu (3/12). Balapan yang akan dimulai pukul 14.15 waktu setempat (tidak ada perbedaan waktu dengan WIB) itu akan menjadi sangat krusial bagi dua pembalap yang satu tim dengannya, Rheza Danica Ahrens dan Herjun Atna Firdaus karena menjadi pamungkas penentuan gelar kelas AP 250.   Seperti apa yang sudah dikatakan Veda berkali-kali, meski berpotensi ""mengganggu"" dua seniornya itu dalam perebutan juara, fokusnya tetap satu yaitu fokus untuk memenangkan balapan di setiap serinya tanpa memperdulikan siapa pesaing-pesaingnya.   ""Kalau saya sih, saya tetap fokus aja, yang penting nomer satu,"" tegas Veda.   Kemenangan di balapan pertama seri terakhir ini membuat Veda menambahkan 25 poin dalam perolehan poin di klasemen sementara. Ia mengokohkan diri di posisi tiga dengan 160 poin.  Baca juga: Arbi mulai balapan SS 600 ARRC 2023 dari posisi delapanPewarta: Zaro Ezza SyachniarEditor: Irwan Suhirwandi    COPYRIGHT © ANTARA 2023 ",olahraga
" Sabtu, 2 Desember 2023 15:55 WIB",Pewarta: Zaro Ezza SyachniarEditor: Aditya Eko Sigit WicaksonoCOPYRIGHT © ANTARA 2023,Herjun pangkas jarak dari Rheza dalam perebutan gelar AP 250 ARRC,"     Buriram, Thailand (ANTARA) - Pembalap Indonesia Herjun Atna Firdaus menjaga asa berburu gelar pertamanya di kelas Asia Production 250 (AP 250) Asia Road Racing Championhsip (ARRC) 2023 setelah ia finis posisi keempat pada race pertama seri terakhir di Sirkuit Internasional Chang, Buriram, Thailand, Sabtu.   Herjun memangkas jaraknya dari rekan satu tim sekaligus pemimpin klasemen sementara kelas AP 250, Rheza Danica Ahrens yang menyelesaikan balapan tidak lebih baik darinya yaitu di posisi keenam.   Hasil tersebut membantu Herjun mengubah defisit 23 poin menjadi 20 poin dari Rheza yang mengantongi 198 poin jelang balapan terakhir pada Minggu.   Herjun yang start dari posisi keempat sempat mendapati posisinya melorot ke P7, dua tempat di belakang Rheza yang menepati posisi kelima, ketika Veda Ega Pratama mempertahankan posisinya dari pole sebagai pimpinan lomba.   Pada lap kedua, Herjun mendapat celah menyalip Rheza untuk naik ke posisi kelima.   Memasuki lap selanjutnya, Herjun tertinggal jauh dari rombongan empat pembalap di depannya yang diisi Veda, Jakkreephat Puettisan, Cao Viet Nam, dan Muklada Sarapuech.   Memasuki lap keempat, balapan semakin menarik. Herjun membangun jarak untuk meninggalkan Rheza demi mengejar tiga rombongan pebalap di depannya, saat Veda melaju sendirian di posisi terdepan.   Tak menunggu lama, Herjun mengambil alih posisi ketiga sebelum kemudian ia lengah dan kembali ke posisi semula pada lap kelima.   Saat balapan tersisa dua lap, Herjun memacu gasnya untuk mengincar podium. Sedangkan, Rheza yang ada di posisi keenam, mulai mendekati empat pembalap di atasnya.   Setelah persaingan sengit dengan rombongan, Herjun menyelesaikan balapan di posisi keempat dan Rheza keenam. Sementara itu, Veda Ega tak menemui kendala untuk menjadi juara di race pertama.   Hasil itu membuat penentuan juara ARRC 2023 kelas AP 250 akan ditentukan pada race kedua, Minggu (3/12) pukul 14.15 waktu setempat.   Untuk merebut gelar juara, Herjun harus meraih kemenangan dan berharap Rheza finis tak lebih baik dari posisi ke-12.   Sebaliknya, Rheza hanya membutuhkan finis pada posisi kesepuluh, apapun hasil dari Herjun, karena hanya butuh tambahan enam poin untuk mengunci gelar keduanya di kelas AP 250.   Veda, yang baru saja merebut gelar juara Asia Talent Cup, menegaskan dominasi para pebalap tim Astra Honda Racing di peringkat tiga klasemen AP 250 dengan koleksi 160 poin berkat kemenangan ketiganya pada musim ini.Pewarta: Zaro Ezza SyachniarEditor: Aditya Eko Sigit Wicaksono    COPYRIGHT © ANTARA 2023 ",olahraga
" Sabtu, 2 Desember 2023 14:27 WIB",Pewarta: Aditya RamadhanEditor: Aditya Eko Sigit WicaksonoCOPYRIGHT © ANTARA 2023,"Menang lawan RANS, pelatih Dewa United belum puas","     Jakarta (ANTARA) - Dewa United Banten kembali memetik kemenangan dalam laga pemanasan sebelum kompetisi melawan RANS Simba Bogor dengan skor akhir 71-67, namun Kepala Pelatih Pablo Daniel Favarel belum puas dengan hasil itu.   ""Secara keseluruhan, kami masih harus tetap meningkatkan dan bekerja keras sebelum liga dimulai. Kami masih punya waktu untuk terus meningkatkan kemampuan sesuai dengan sistem permainan kami,"" kata Pablo seperti dikutip dari laman resmi klub di Jakarta, Sabtu.   Kemenangan Dewa United melawan RANS pada laga yang digelar di Tangerang Selatan ini merupakan yang kedua kalinya di masa off season IBL. Sebelumnya Anak Dewa juga mengalahkan RANS dengan skor 70-63 di GOR Tangerang pada Oktober lalu.   Pada pertemuan kali ini, Coach Pablo menurunkan trio pemain baru yaitu Samuel Devin, Patrick Nikholas, dan Rio Disi. Didukung Dio Tirta Saputra serta Firman Dwi Nugroho sebagai Big Man.   Hasilnya pun cukup memuaskan. Anak Dewa mampu unggul 22-13 di kuarter pertama atas RANS, dan unggul 41-31 hingga halftime.   Hardianus Lakudu yang juga merupakan bintang baru Dewa United Banten ikut diturunkan dan membawa warna permainan baru. Permainan cepatnya serta kolaborasinya dengan sejumlah pemain membawa Anak Dewa unggul 54-83 di kuarter ketiga, dan menutup gim dengan kemenangan 71-67.   ""Gim yang bagus, saya percaya para pemain sudah memberikan yang terbaik dan semakin berkembang. Tentu saya senang dengan hal itu dan juga hasil dari gim ini,"" ujar Coach Pablo.   Selain meraih dua kemenangan atas RANS, Dewa United Banten juga sempat meraih hasil positif saat dua kali menggelar laga uji coba melawan Borneo Hornbills. Anak Dewa menyapu bersih dua kemenangan laga pemanasan tersebut melawan Borneo dengan skor 77-76 dan 90-65.Pewarta: Aditya RamadhanEditor: Aditya Eko Sigit Wicaksono    COPYRIGHT © ANTARA 2023 ",olahraga
" Sabtu, 2 Desember 2023 14:25 WIB",Pewarta: Aditya RamadhanEditor: Aditya Eko Sigit WicaksonoCOPYRIGHT © ANTARA 2023,Kevin Durant masuk jajaran 10 besar pencetak poin terbanyak NBA,"     Jakarta (ANTARA) - Pemain veteran dari Phoenix Suns Kevin Durant masuk dalam jajaran 10 besar pebasket dengan poin terbanyak dalam sejarah NBA dengan 27.423 poin pada pertandingannya melawan Denver Nuggets yang berakhir pada kekalahan 119-111 di Footprint Center Arizona, Sabtu WIB.   Mengutip laman resmi NBA, KD mencetak 27.410 poin di akhir babak pertama pada laga melawan Denver Nuggets, tepat pada catatan poinnya yang ke-17 di gim tersebut.   Angka itu melampaui catatan Moses Malone yang kini bergeser ke urutan 11 sebagai pencetak poin terbanyak dalam sejarah NBA dengan 27.409 poin. Sedangkan Durant mencatat 30 poin di akhir laga yang membuatnya menorehkan 27.423 poin.   Di atas Durant, masih ada Carmelo Anthony yang harus dilampaui dengan rekor 28.289 poin, dan Shaquille O'Neal tidak jauh dengan torehan 28.596 poin. Artinya, Durant harus menambah 867 poin lagi untuk melampaui Anthony dan menjadi pencetak poin ke-9 terbanyak sepanjang sejarah NBA.   Apabila kondisi fisik Durant tetap bugar sepanjang kompetisi dan rata-rata poin per gim yang dicetaknya masih dalam rataan yang konsisten di tiap pertandingan, KD diperkirakan akan melampaui Anthony pada akhir Januari 2024, dan melampaui O'Neal 10 gim selanjutnya.   Durant yang sudah berusia 35 telah menjalani musim ke-16 kompetisi NBA. Dia baru menjalani musim NBA sejak awal bersama Suns pada tahun ini, di mana pada musim sebelumnya baru menjalani sepenuhnya karena cedera.   Rata-rata poin per gim yang dicatat oleh Durant adalah 31,3 dengan 51,8 persen akurasi tembakan dari lapangan terbuka. Akurasi tembakan tripoinnya 49,3 persen, dan tembakan free thrownya memiliki akurasi 89,6 persen.   Dalam catatan 10 besar rekor poin terbanyak sepanjang sejarah NBA, Kevin Durant adalah salah satu dari dua pemain yang masih aktif berkompetisi di musim berjalan. Satu pemain lainnya adalah pemegang rekor poin terbanyak nomor satu yaitu LeBron James yang mencatat 39.124 poin, dan masih akan terus bertambah.  Baca juga: Kalahkan Suns 119-111, Nuggets jaga posisi di papan atas klasemen  Baca juga: Bola Basket - Thunder tundukkan Lakers 133-110Pewarta: Aditya RamadhanEditor: Aditya Eko Sigit Wicaksono    COPYRIGHT © ANTARA 2023 ",olahraga
" Sabtu, 2 Desember 2023 14:16 WIB",Pewarta: Aditya RamadhanEditor: Aditya Eko Sigit WicaksonoCOPYRIGHT © ANTARA 2023,"Kalahkan Suns 119-111, Nuggets jaga posisi di papan atas klasemen","     Jakarta (ANTARA) - Jawara NBA musim lalu Denver Nuggets mengalahkan Phoenix Suns dengan skor akhir 119-111 sekaligus menjaga diri di papan atas klasemen sementara Wilayah Barat dalam laga lanjutan NBA yang digelar di Footprint Center Phoenix Arizona, Sabtu WIB.   Mengutip data statistik pertandingan dari laman resmi NBA, Nikola Jokic menjadi tumpuan tim dengan catatan dwiganda 21 poin dan 16 assist.   Reggie Jackson menambahkan 20 poin, lalu Michael Porter Jr double-double lewat 19 poin dan 10 rebound, dan Justin Holiday bersama Kentavious Caldwell-Pope sama-sama menyumbang 15 poin.   Selama jalannya pertandingan, Denver tampil dominan dalam keunggulan poin, di mana Suns hanya mampu unggul di kuarter pertama dengan hanya menang tiga poin. Namun Suns hampir bangkit di kuarter empat dengan tiga kali menyamakan skor, dan tertinggal tidak lebih dari 5 poin.   Reverse layup dari Nikola Jokic pada 24 detik terakhir ditambah dua tembakan gratis yang berhasil dieksekusi dengan sempurna oleh Michael Porter Jr menjadikan skor berakhir 119-111.   Sementara veteran dari Suns Kevin Durant mencetak sejarah pada kekalahan timnya dengan menjadi pencetak poin nomor 10 terbanyak dalam sejarah NBA.   KD mencatat double-double dengan 30 poin dan 11 asssist. Dia mencetak 27.410 poin dengan layup di akhir babak pertama, tepat pada poin ke-17 di gim tersebut. Angka itu melampaui catatan Moses Malone yang kini bergeser ke urutan 11 sebagai pencetak poin terbanyak dalam sejarah NBA dengan 27.409 poin.   Bermain tanpa salah satu bintangnya Devin Booker yang cedera pergelangan kaki kanan, para pemain lainnya Suns berusaha mengisi kekosongan lewat Jusuf Nurkic yang mencetak 31 poin untuk timnya.   Eric Gordon menambahkan 16 poin, dan Grayson Allen bersama Josh Okogie sama-sama mencetak 13 poin.   Selanjutnya, Suns akan berhadapan dengan Memphis Grizzlies besok, dan Nuggets akan melawan Sacramento Kings pada hari yang sama.  Baca juga: Bola Basket - Thunder tundukkan Lakers 133-110  Baca juga: Miami Heat comeback di kuarter empat atasi Pacers 142-132Pewarta: Aditya RamadhanEditor: Aditya Eko Sigit Wicaksono    COPYRIGHT © ANTARA 2023 ",olahraga
